"id","title","year","region","language","director","type","actor","date","rate","rating_num","runtime","url"
"34806231","假面骑士时王：盖茨王权 仮面ライダージオウ NEXT TIME ゲイツ、マジェスティ","2020","日本","日语","诸田敏","动作,科幻,冒险","押田岳,奥野壮,大幡诗绘理,渡边圭祐,绀野彩夏,板垣李光人,户谷公人","2020-02-28(日本)","6.8","1666","64分钟","https://movie.douban.com/subject/34806231/"
"34806917","军团 Legiony","2019","波兰","波兰语","达留什·加耶夫斯基","历史,战争","维克托利亚·沃兰斯卡,赛巴斯汀·法比杰斯基,巴托茨·戈尔纳,安东尼·帕利基,马切伊·马杰斯基,让·弗里兹,波利斯·席克,莫迪斯特·鲁辛斯基,米罗斯洛·巴卡","2019-09-20(波兰)","6.4","263","120分钟","https://movie.douban.com/subject/34806917/"
"34807058","格蕾特和韩塞尔 Gretel & Hansel","2020","加拿大 / 爱尔兰 / 美国 / 南非","英语","奥兹·珀金斯","惊悚,恐怖,奇幻","索菲娅·莉莉丝,艾丽丝·克里奇,杰西卡·德·古维,查尔斯·巴巴洛拉,塞缪尔·利基,伊安·肯尼,阿卜杜勒·阿尔沙瑞夫,曼纽尔·庞波,贝娅特丽克斯·帕金斯","2020-01-31(美国)","5.5","2099","87分钟","https://movie.douban.com/subject/34807058/"
"34807105","红色幽灵 Красный призрак","2020","俄罗斯","俄语","安德烈·博加提夫","剧情,战争","阿列克谢·舍甫琴科夫,弗拉基米尔·高斯特尤金,尤里·鲍里索夫,波琳娜·切尔尼绍娃,沃尔夫冈·塞尔尼,迈克尔·戈尔,Olga Stashkevich,Pavel Abramenkov,Vyacheslav Shikhaleev,奥列格·瓦西里科夫","2020-10-03(莫斯科国际电影节)","6.8","823","96分钟","https://movie.douban.com/subject/34807105/"
"34809353","始动 시동","2019","韩国","韩语","崔正烈","剧情,喜剧","马东锡,朴正民,丁海寅,廉晶雅,金敏载","2019-12-18(韩国)","6.6","7854","101分钟","https://movie.douban.com/subject/34809353/"
"34809725","海滨别墅 The Beach House","2019","美国","英语","Jeffrey A. Brown","恐怖","丽亚娜·莱伯拉托,诺厄·勒·赫罗斯,杰克·韦伯","2019-09-14(斯特拉斯堡欧洲奇幻电影节)","4.8","1169","88分钟","https://movie.douban.com/subject/34809725/"
"34810454","世界第一初恋：求婚篇 世界一初恋 プロポーズ編","2020","日本","日语","高桥知也","喜剧,爱情,动画,同性","近藤隆,小西克幸,立花慎之介,中村悠一,冈本信彦,前野智昭,堀内贤雄,古谷彻","2020-02-21(日本)","8.3","6956","21分钟","https://movie.douban.com/subject/34810454/"
"34813221","杏林医院 杏林醫院","2020","中国台湾","汉语普通话","朱家麟","惊悚,恐怖","林柏宏,太保,朱芷莹,林彦君,洪宜卉,古斌,徐立期,雍幸熹","2020-12-31(中国台湾)","3.7","1107","90分钟","https://movie.douban.com/subject/34813221/"
"34813910","新狼人传说 The Cursed","2021","美国 / 法国","英语","西恩·埃利斯","悬疑,恐怖,奇幻","波伊德·霍布鲁克,凯利·蕾莉,埃利斯戴尔·皮特里,罗珊妮·杜兰,安妮·罗斯·戴利,奈杰尔·贝茨,斯图尔特·鲍曼,西蒙·坤茨,阿梅利亚·克劳奇,马克斯·麦金托什,汤米·罗杰,米莉·基斯,汤姆·斯威特,加里·奥利弗,理查德·坎宁汉姆,肖恩·马洪,米什·博伊科,保罗·班迪,阿伦·拉格兰,安娜贝尔·穆利恩,斯图尔特·古德温,克里斯多夫·克雷格,帕特里克·佐克,蕾贝卡·卡尔德","2021-01-30(圣丹斯电影节)","5.9","441","113分钟","https://movie.douban.com/subject/34813910/"
"34814175","内战前 Antebellum","2020","美国","英语","杰拉德·布什,克里斯托弗·伦兹","剧情,悬疑,惊悚","加奈儿·梦奈,吉娜·马隆,科雷西·克莱门斯,罗伯特·阿拉马约,杰克·休斯顿,加布蕾·丝迪贝,埃里克·兰格,马克·理查德森二世,莉莉·考尔斯,T·C·马特恩 T.C. Matherne,汤加伊·基里萨","2020-09-18(美国)","6.4","2656","105分钟","https://movie.douban.com/subject/34814175/"
